# F_MHZ    R_N    B_OPT    G_OPT    T_MIN
7.657499999999998863e+01 3.893532108425620919e+01 5.851949814483803922e-04 1.518613542662209347e-02 5.331928215055478404e+02
7.686249999999999716e+01 3.865518366249081339e+01 3.825917395103004860e-04 1.529852702163633435e-02 5.403984922283493688e+02
7.715000000000000568e+01 3.820729559073974002e+01 5.040365586773911570e-04 1.543871614213152693e-02 5.436551651526348223e+02
7.743750000000000000e+01 3.964993002450120230e+01 4.261018181532282901e-04 1.541669258224723574e-02 5.784522430135141349e+02
7.772499999999999432e+01 3.866442587189734326e+01 4.880817348009356652e-04 1.551506481727176791e-02 5.709812485206958854e+02
7.801249999999998863e+01 3.899996564850228964e+01 2.317647235657593907e-04 1.558097009048623090e-02 5.725024986516363015e+02
7.829999999999999716e+01 3.920654697684467749e+01 4.692204239676601974e-04 1.566117624810697134e-02 5.758597929022815833e+02
7.858750000000000568e+01 3.864142188922939880e+01 4.608853177848841985e-04 1.567683508917983026e-02 5.612754109456980132e+02
7.887500000000000000e+01 3.929820837171988757e+01 4.135485354423079152e-04 1.553358761871663669e-02 5.689922433055960482e+02
7.916249999999999432e+01 3.960540342906026012e+01 4.974953728067615152e-04 1.580732059057997699e-02 5.865934595674978027e+02
7.944999999999998863e+01 4.006156670782038276e+01 4.332194322496815101e-04 1.567328524674101164e-02 6.005580214390909077e+02
7.973749999999999716e+01 3.981589990462718021e+01 4.350803455529422869e-04 1.590633145112573324e-02 6.019264225848775141e+02
8.002500000000000568e+01 4.075260707184985165e+01 3.598698190014740271e-04 1.587098145089995554e-02 6.109815740531862502e+02
8.031250000000000000e+01 3.999203586513632303e+01 4.166219529258908053e-04 1.596697130234086062e-02 6.150412326541871835e+02
8.059999999999999432e+01 4.108944163407054617e+01 4.482419013956787405e-04 1.592080069973761391e-02 6.192671009319186624e+02
8.088749999999998863e+01 4.074875686721546941e+01 4.905044633288610685e-04 1.600789507814503673e-02 6.234002521202488651e+02
8.117499999999999716e+01 4.100855824852102671e+01 4.168399742641375303e-04 1.626382446393820347e-02 6.412466606713775263e+02
8.146250000000000568e+01 4.153466703754640577e+01 4.473976785457861138e-04 1.611869891097276672e-02 6.346081546721799214e+02
8.175000000000000000e+01 4.130434135746855162e+01 4.621774127839043105e-04 1.628660225089012190e-02 6.454646984138355492e+02
8.203749999999999432e+01 4.121877956217968375e+01 5.522163345956201041e-04 1.649880348070660585e-02 6.349135658758751788e+02
8.232499999999998863e+01 4.259431542421017269e+01 5.812675497672380306e-04 1.645711213596786487e-02 6.781569984608536288e+02
8.261249999999999716e+01 4.214567814209610219e+01 5.709345340364042291e-04 1.658614930432191284e-02 6.667731591043645949e+02
8.290000000000000568e+01 4.269934713233700307e+01 6.723400239534857914e-04 1.665903121453174429e-02 6.920163587983006437e+02
8.318750000000000000e+01 4.310789866939538229e+01 7.131637291649315074e-04 1.675953677922173771e-02 7.097671599407699432e+02
8.347499999999999432e+01 4.231237268040553801e+01 8.877172335065851598e-04 1.695231299557400234e-02 7.031658425637871233e+02
8.376249999999998863e+01 4.404386267185108039e+01 9.946986524783654141e-04 1.689835939288873712e-02 7.473920653374597123e+02
8.404999999999999716e+01 4.340658295666083433e+01 9.587168846051644837e-04 1.721829702163596085e-02 7.217070788912973285e+02
8.433750000000000568e+01 4.437215895948375532e+01 1.041868323919560710e-03 1.713094892250597093e-02 7.402678540933825388e+02
8.462500000000000000e+01 4.564187829899168491e+01 1.107765573114703186e-03 1.724206965904306194e-02 7.827968068144296012e+02
8.491249999999999432e+01 4.656032076049058333e+01 1.386321116974909397e-03 1.706109086711554354e-02 7.765325259083803076e+02
8.519999999999998863e+01 4.703409456355362295e+01 1.287669398019847516e-03 1.720306206241298957e-02 7.909377217424155333e+02
8.548749999999999716e+01 5.015470841312757955e+01 1.381134259783366484e-03 1.737148014070993146e-02 8.786646032972290641e+02
8.577500000000000568e+01 5.268821638274353347e+01 1.678916013847535447e-03 1.717268650375896114e-02 9.010954555978324834e+02
8.606250000000000000e+01 5.188933749035552268e+01 1.537130937818418459e-03 1.751504157780211374e-02 9.174847611631242899e+02
8.634999999999999432e+01 5.712336431438748008e+01 1.634298474780200355e-03 1.758824701147040231e-02 1.031351172148519481e+03
8.663749999999998863e+01 6.202624495891142686e+01 1.398132209837640166e-03 1.747181190272467308e-02 1.127091219396247197e+03
8.692499999999999716e+01 7.117639580305244351e+01 1.790733530563985839e-03 1.802146884068731719e-02 1.378094097675623516e+03
8.721250000000000568e+01 9.953949923658612420e+01 1.544925293742940289e-03 1.876838195393302350e-02 2.055209402061206674e+03
8.750000000000000000e+01 2.765489511080940588e+02 1.623449250535764776e-03 1.949828263219207866e-02 6.171720124196924189e+03
