F/MHz,dB (252a),deg (252a),dB (252b),deg (252b),dB (254a),deg (254a),dB (254b),deg (254b),dB (255a),deg (255a),dB (255b),deg (255b),dB (256b),deg (256b)
28.016032,-21.1541279526869,-110.814625646702,-21.9593778807759,-106.508050657032,-22.1411162777469,-91.90432833773,-21.984068989742,-98.7143766181384,-21.552925848651,-111.353169437402,-22.0368076158459,-136.252096905146,-22.7288059539395,-117.8588082553
28.216433,-21.5033085098321,-117.866923268941,-22.6763175640661,-113.613612320713,-23.2946799276982,-96.9582001141486,-22.5965920838477,-103.991788685879,-22.0778736771951,-117.763406254962,-22.5149691359239,-142.972844152171,-23.5362530389383,-124.378362623284
28.416834,-22.0663848866308,-123.585576663114,-23.5113548973884,-118.281115774925,-24.6952674591147,-100.061319146377,-23.3317469822723,-108.475260291545,-22.780172543238,-123.824344708407,-23.4089067471464,-147.902196882835,-24.3452752540719,-130.193917392793
28.617234,-22.5752829153352,-130.360683782691,-24.513991156614,-123.279878397269,-26.1687315840185,-105.020972635928,-24.0006973902987,-113.47313796247,-23.7102101483347,-129.973074369287,-23.9708257948208,-153.030495465224,-25.3125641285582,-135.639919334989
28.817635,-23.3236432767271,-135.555600808818,-25.4753571186877,-127.775663036189,-27.9161231464093,-103.396955117255,-24.8362311377805,-116.351109233606,-24.6337012886764,-135.113301517048,-24.7888089581382,-158.311512192555,-26.4587835669528,-141.717652057396
29.018036,-23.9806615090941,-141.7552986077,-26.8668722569522,-131.78697684609,-29.5758732329792,-103.471247188632,-25.8243914558261,-120.411444721033,-25.7437707434188,-138.87930196724,-25.49965896038,-160.506688511888,-27.672157270185,-145.666458248961
29.218437,-24.5901588562794,-145.028384211639,-27.88964999156,-133.659635571682,-31.2656562001307,-99.1779937097705,-26.7295221950319,-122.231946419246,-26.7791596768614,-143.523912549239,-26.5907387044819,-163.881157124136,-29.0108036682902,-150.650035802653
29.418838,-25.401269284751,-148.806316341589,-29.0441050472628,-136.266359927635,-33.5828293384872,-91.1038472842652,-27.6530883796016,-125.625692952413,-28.1286616006417,-147.353478669785,-27.2382453253198,-167.211643085726,-30.4021801561727,-151.705575871826
29.619238,-26.1230966396784,-152.65913865176,-30.6423047160679,-138.491995411685,-34.7063429559996,-78.4926013874527,-28.3457543281063,-125.563593515057,-29.3644648572522,-151.053997348225,-28.1287054148057,-167.835083985849,-31.621164511381,-157.945449403271
29.819639,-27.1450944280654,-154.963305137468,-31.8666432741324,-140.16542057,-35.9171786145058,-65.6625791860167,-29.3670698068731,-126.54167767238,-30.5254838888944,-152.957368644883,-28.5467328867688,-168.368433295326,-32.8746473987738,-158.692230385685
30.02004,-27.9655943339356,-156.918906203192,-33.3875400198172,-140.442097537294,-34.8197301836572,-49.5018656519969,-30.4775075653635,-126.367841903939,-31.8883497324079,-152.901940136005,-29.6469243803283,-168.97284355172,-34.5476707739171,-158.144714941494
30.220441,-28.7829981656054,-158.565510340315,-34.7182749436326,-137.234419577495,-34.4252091194732,-43.8427127762893,-30.9956714954821,-126.030231670042,-33.4938465970854,-152.886622445341,-30.2081532240951,-169.403100394676,-36.9089090335195,-157.913028439047
30.420842,-29.6005146797707,-157.579344184894,-36.2765302187303,-133.277336233317,-33.5024853124849,-37.1582036222084,-31.6324923363577,-127.780204276374,-34.9585496651507,-152.340500311575,-30.7281437480126,-167.283691517666,-38.4378096983972,-153.609824998954
30.621242,-30.3157912419999,-157.386118544155,-37.3834428838748,-125.734251230381,-32.1822654353663,-32.8822385878639,-32.4876006069548,-124.325701011863,-36.4067354421972,-148.02654930747,-31.4741559252063,-164.488671530132,-41.1857910713618,-151.387981709184
30.821643,-30.9717309313592,-156.94176011387,-38.6619515479196,-124.149165843616,-31.8421884782236,-29.6292447163227,-33.4190826488009,-122.900870314847,-37.2623222738115,-144.770163860536,-32.050285765929,-163.529520823559,-41.8528429077079,-142.502126630247
31.022044,-31.2833930998518,-157.513014838747,-38.7913613789409,-116.736566377411,-30.929051305624,-31.0959348501537,-33.114255713863,-121.560856999116,-39.4710099863091,-139.585667609255,-32.1079814074998,-162.625517522602,-43.2471384017679,-135.974293463709
31.222445,-31.7448731436756,-155.447000992796,-40.5074279014067,-112.447766556949,-30.5165494427896,-30.6138917801717,-33.7888696514804,-123.692985556053,-40.1427820551357,-124.996047640505,-32.3076345515695,-156.848769894084,-44.4097234433473,-126.132565986007
31.422846,-32.132170976529,-154.698141547142,-40.1911123397092,-102.536461794258,-30.0961553554472,-30.6944011528212,-33.8155787303782,-120.119664108974,-39.8840124807038,-124.920971223084,-32.2269574006987,-157.142497206646,-44.8756450490375,-105.654664595022
31.623246,-32.5228528930348,-150.416145639934,-41.209933039144,-94.0640940089989,-29.5997150847379,-31.6270773011516,-34.3125271411263,-116.958877083952,-40.3624265825339,-113.306802729358,-32.6896600452956,-155.143102325159,-42.7045474240367,-107.357577197544
31.823647,-32.4598524085762,-149.756332703535,-39.8821949384292,-92.8155442531031,-29.7467557483635,-33.2867765262214,-34.4132547846235,-115.989268639163,-39.4041654008615,-104.278861919986,-32.3490541889281,-147.751116718596,-42.7862614416532,-89.4026637723891
32.024048,-32.9955031499363,-149.055974903586,-41.7802271711692,-87.0440849864823,-29.5533007138965,-34.4322646771909,-35.1832438438026,-115.231418373659,-39.0340998612603,-98.7796469957279,-32.6759778042154,-148.78149715856,-43.1682580138952,-83.1414926351043
32.224449,-32.8903534594273,-145.582468447259,-39.7002345396438,-82.7085296664966,-29.217956234861,-35.9783032343632,-34.8263747696882,-114.684291478375,-38.7221238245107,-97.9293592537831,-32.6370726472527,-151.179215028069,-40.1649399609611,-81.5293114496668
32.42485,-33.1663237621151,-143.033246850972,-41.150363073812,-84.9310406201841,-29.0502652305101,-34.5783649515462,-35.0532922322875,-115.450410394644,-39.0259488982492,-90.9036636742502,-32.3483528247481,-149.703855574821,-40.6151236542916,-82.2242092881403
32.625251,-33.0394047060879,-146.395588159781,-41.2764576388985,-83.12988372259,-29.2245328300985,-36.7438616654368,-35.1272271673093,-113.289062858471,-38.4518575990982,-97.5765668698197,-32.238919509326,-150.542971717002,-40.3179587628907,-90.024510357916
32.825651,-32.2469232395693,-142.052374139778,-39.4482392146668,-82.3878125232243,-29.0776113500355,-37.322210717255,-35.6896771237478,-113.633152658715,-38.9383060472678,-87.6528441000151,-31.768708611219,-149.09388393643,-39.2853641808548,-82.1701194686865
33.026052,-32.6555808977751,-144.868778109412,-39.9326805447958,-78.5165244314819,-29.0061129224857,-36.7087733068698,-35.4388528562079,-115.500758224547,-38.4248332852498,-92.9432792125157,-31.378193023406,-149.238962837317,-39.6874802149998,-83.4533627049965
33.226453,-32.3589972937319,-144.933784207592,-40.2108854144489,-70.0854663538823,-29.1591747744398,-38.8739353713966,-35.459645783837,-112.354142280551,-37.6944436070768,-92.0944292627678,-31.338173057968,-147.791752082778,-39.9872006776503,-82.5223969310326
33.426854,-32.4919086485843,-144.264412637751,-39.9560333912869,-78.3031194040651,-29.1824636000153,-43.4180304335964,-35.4268629005647,-116.532707537687,-38.346049074659,-95.6207382346486,-31.6866978173037,-149.212102295828,-39.0001069532289,-86.038955667545
