"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via  a MS147 jack.  Cable data include a push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,
,,,,,,,,
,,,,,,,,
Frequency,S11,,S21,,S22,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,
62.47,-30.05967976,33.07219329,-0.068414006,-34.66065703,-34.71861657,12.79980295,,
62.965,-30.04113766,32.61650074,-0.068523061,-34.93464981,-34.46971381,14.52826052,,
63.46,-29.95331876,32.13052715,-0.068996327,-35.21953425,-34.65688801,12.44522486,,
63.955,-29.91890007,32.08312658,-0.070262198,-35.48037815,-34.65238397,10.74008118,,
64.45,-29.93734791,31.09672804,-0.069358174,-35.75672249,-34.43878364,13.56325687,,
64.945,-29.85876669,31.19628338,-0.070480506,-36.02775916,-34.53738123,12.75339927,,
65.44,-29.80356095,30.78313286,-0.070254207,-36.29788412,-34.56660438,12.71738877,,
65.935,-29.73721953,30.6541276,-0.070153914,-36.57386243,-34.47744979,10.93854375,,
66.43,-29.73194091,29.96894794,-0.071776214,-36.84463662,-34.27337727,12.11738724,,
66.925,-29.7317277,29.43833358,-0.073017753,-37.12266971,-34.44842446,11.32026087,,
67.42,-29.64311999,29.11250845,-0.07093959,-37.38837968,-34.32220098,11.12788157,,
67.915,-29.59247779,29.11627517,-0.072661797,-37.66523698,-34.23168869,9.447642295,,
68.41,-29.60537778,28.56247403,-0.071500817,-37.93738604,-34.13701562,10.1853224,,
68.905,-29.55487485,27.99462657,-0.073913001,-38.2051049,-34.02477205,9.606146368,,
69.4,-29.44787659,27.9004918,-0.073244052,-38.4765038,-34.13288092,9.371712046,,
69.895,-29.45606715,27.43484552,-0.07329556,-38.75603031,-33.89566231,8.635962368,,
70.39,-29.4824444,27.29617442,-0.074474407,-39.02591753,-33.93636822,8.471870926,,
70.885,-29.34565155,27.15492253,-0.073936576,-39.2958882,-33.73929906,7.83731396,,
71.38,-29.3187669,26.53934592,-0.074601663,-39.5604828,-33.8527235,7.573147253,,
71.875,-29.29355892,26.37826116,-0.074919616,-39.84752391,-33.50973184,7.036603757,,
72.37,-29.31757828,25.38085037,-0.076744507,-40.12175268,-33.7029428,6.466439493,,
72.865,-29.1758481,25.12536964,-0.074716058,-40.3929523,-33.61747045,6.517349461,,
73.36,-29.18225453,24.96580443,-0.074943928,-40.66163678,-33.60481173,6.226269143,,
73.855,-29.15158745,24.67020931,-0.075699832,-40.93280492,-33.34904959,6.524035643,,
74.35,-29.11110795,24.0932955,-0.076465013,-41.20563488,-33.41899827,5.629675229,,
74.845,-29.05503476,23.80114217,-0.076999509,-41.47622026,-33.33255152,5.258490234,,
75.34,-28.99687775,23.3060883,-0.077153547,-41.74347838,-33.38892479,4.593799352,,
75.835,-29.04300083,22.97664008,-0.076666031,-42.0139688,-33.47624973,4.859852291,,
76.33,-29.00209608,22.42362596,-0.076853361,-42.29710393,-33.23268082,3.807343695,,
76.825,-28.93190893,22.09282774,-0.077993584,-42.56332641,-33.34587006,3.740643579,,
77.32,-28.93189423,21.80788298,-0.077653001,-42.84039149,-33.13491463,3.592529742,,
77.815,-28.85353832,21.34427978,-0.078817724,-43.11523539,-33.29178167,2.395724126,,
78.31,-28.8597997,20.79086012,-0.078948869,-43.37563921,-33.23008971,2.794033772,,
78.805,-28.85541308,20.71727031,-0.078130105,-43.65998014,-33.01861798,2.455569231,,
79.3,-28.78538189,19.99838405,-0.078647757,-43.92902818,-32.9530196,2.583263192,,
79.795,-28.76956041,19.91139745,-0.079207279,-44.19857652,-33.08320358,2.743839256,,
80.29,-28.70183673,19.23919604,-0.079131476,-44.47551797,-32.91987962,1.972668297,,
80.785,-28.69492621,19.231074,-0.08002094,-44.74407698,-32.87507043,1.022152596,,
81.28,-28.70040833,18.45446658,-0.08020691,-45.02038057,-32.82928789,1.329561579,,
81.775,-28.62423123,18.42207674,-0.080288069,-45.28810862,-32.86966148,0.877010885,,
82.27,-28.60624819,17.92417846,-0.081101098,-45.56415632,-32.73895395,0.169272886,,
82.765,-28.57273202,17.55254034,-0.081020315,-45.83395006,-32.74792838,0.252744892,,
83.26,-28.53521462,17.1917025,-0.081371544,-46.10371758,-32.64410575,-0.639134166,,
83.755,-28.52930009,16.38138629,-0.082225474,-46.38058119,-32.77068784,-0.444888351,,
