LEDA 18May cable calibration by E. Tong. 05/31/18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via a MS147 jack.  Cable data include the push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,7 dB attenuator (BW3),,SMA(m) barrel,,,,,,,,,,,,,
Frequency,S21,,S21,,S11,,,,,,,,,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,,,,,,,,,
62.965,-6.974961486,-1.9553006,-0.002208841,-1.7675837, < -50,--,,,,,,,,,,
63.46,-6.983674146,-1.9577353,-0.015687256,-1.7579227, < -50,--,,,,,,,,,,
63.955,-6.979879486,-1.9817009,-0.008442429,-1.8009884, < -50,--,,,,,,,,,,
64.45,-6.981615324,-1.9881842,-0.015115258,-1.8272932, < -50,--,,,,,,,,,,
64.945,-6.983230026,-2.0056591,-0.015148895,-1.8076214, < -50,--,,,,,,,,,,
65.44,-6.982099744,-2.0186705,-0.022450372,-1.8555057, < -50,--,,,,,,,,,,
65.935,-6.981219317,-2.0315683,-0.016793003,-1.8164091, < -50,--,,,,,,,,,,
66.43,-6.986065798,-2.0413706,-0.010501902,-1.8322034, < -50,--,,,,,,,,,,
66.925,-6.981496846,-2.0935598,-0.017611158,-1.9069758, < -50,--,,,,,,,,,,
67.42,-6.97932698,-2.0659983,-0.017852179,-1.861393, < -50,--,,,,,,,,,,
67.915,-6.987709086,-2.0486371,-0.017465723,-1.9118802, < -50,--,,,,,,,,,,
68.41,-6.975737273,-2.1484365,-0.012341162,-1.9085557, < -50,--,,,,,,,,,,
68.905,-6.989319294,-2.1116824,-0.019282594,-1.9358318, < -50,--,,,,,,,,,,
69.4,-6.984103178,-2.1308279,-0.013254643,-1.939655, < -50,--,,,,,,,,,,
69.895,-6.986954617,-2.1597681,-0.012865468,-1.973583, < -50,--,,,,,,,,,,
70.39,-6.978038726,-2.160691,-0.00715778,-1.970787, < -50,--,,,,,,,,,,
70.885,-6.98170938,-2.1383574,-0.011807602,-2.0076764, < -50,--,,,,,,,,,,
71.38,-6.988019334,-2.191927,-0.016989973,-2.0137543, < -50,--,,,,,,,,,,
71.875,-6.983346142,-2.2158177,-0.016048212,-1.9712488, < -50,--,,,,,,,,,,
72.37,-6.983975592,-2.2140028,-0.015907072,-2.0285082, < -50,--,,,,,,,,,,
72.865,-6.984434283,-2.2150591,-0.016892017,-2.0390146, < -50,--,,,,,,,,,,
73.36,-6.982178157,-2.2787988,-0.011021627,-2.077008, < -50,--,,,,,,,,,,
73.855,-6.984201785,-2.2468846,-0.014984827,-2.0766635, < -50,--,,,,,,,,,,
74.35,-6.982069077,-2.3029256,-0.012499778,-2.0895431, < -50,--,,,,,,,,,,
74.845,-6.97470802,-2.3150933,-0.009015106,-2.0974615, < -50,--,,,,,,,,,,
75.34,-6.984427604,-2.3220317,-0.019260549,-2.1280937, < -50,--,,,,,,,,,,
75.835,-6.977694562,-2.3472004,-0.014324062,-2.1262137, < -50,--,,,,,,,,,,
76.33,-6.982949808,-2.3402352,-0.009996064,-2.1239471, < -50,--,,,,,,,,,,
76.825,-6.982596689,-2.3519704,-0.020777992,-2.1510679, < -50,--,,,,,,,,,,
77.32,-6.982249796,-2.3423619,-0.014522944,-2.1431038, < -50,--,,,,,,,,,,
77.815,-6.983709323,-2.4091666,-0.013410203,-2.1990692, < -50,--,,,,,,,,,,
78.31,-6.979840906,-2.4137564,-0.015219413,-2.188669, < -50,--,,,,,,,,,,
78.805,-6.980948794,-2.4156156,-0.012369013,-2.1994539, < -50,--,,,,,,,,,,
79.3,-6.978796531,-2.440558,-0.009431,-2.2300401, < -50,--,,,,,,,,,,
79.795,-6.985463448,-2.4511583,-0.017958109,-2.2339791, < -50,--,,,,,,,,,,
80.29,-6.986072022,-2.4495273,-0.014727885,-2.250547, < -50,--,,,,,,,,,,
80.785,-6.983096861,-2.4895134,-0.01343254,-2.2775066, < -50,--,,,,,,,,,,
81.28,-6.97987779,-2.4950714,-0.012091891,-2.2799752, < -50,--,,,,,,,,,,
81.775,-6.98279969,-2.5195394,-0.011282396,-2.3140498, < -50,--,,,,,,,,,,
82.27,-6.980895747,-2.5376981,-0.012458647,-2.3159733, < -50,--,,,,,,,,,,
82.765,-6.979972065,-2.5359635,-0.015265677,-2.3397112, < -50,--,,,,,,,,,,
83.26,-6.983011214,-2.5445566,-0.015325514,-2.3168253, < -50,--,,,,,,,,,,
83.755,-6.979493629,-2.5701609,-0.013395514,-2.3486149, < -50,--,,,,,,,,,,
84.25,-6.984104729,-2.5952079,-0.010746828,-2.3737361, < -50,--,,,,,,,,,,
84.745,-6.983486048,-2.6226239,-0.015108785,-2.3708159, < -50,--,,,,,,,,,,
85.24,-6.985420267,-2.6279621,-0.013782582,-2.3835381, < -50,--,,,,,,,,,,
85.735,-6.982621308,-2.6188292,-0.011844333,-2.3985717, < -50,--,,,,,,,,,,
86.23,-6.983396171,-2.653609,-0.009134442,-2.4381957, < -50,--,,,,,,,,,,
86.725,-6.982094452,-2.6626015,-0.012713485,-2.4282937, < -50,--,,,,,,,,,,
87.22,-6.980488433,-2.7042095,-0.014821185,-2.4491715, < -50,--,,,,,,,,,,
87.715,-6.984774903,-2.7027144,-0.017723866,-2.4877147, < -50,--,,,,,,,,,,
88.21,-6.982897735,-2.7142238,-0.014788354,-2.4845345, < -50,--,,,,,,,,,,
88.705,-6.982694515,-2.7252411,-0.017184226,-2.5123718, < -50,--,,,,,,,,,,
89.2,-6.98311534,-2.7391176,-0.01240265,-2.5377306, < -50,--,,,,,,,,,,
